收付,crdb,crdb,X
收入,Income,inc,X
收单,Bill,bill,X
收取,Receive,rcv,X
收回,Collected,coll,X
收息,Take Back Interest,tbint,X
收支,revenue and expenses,rev_exp,X
收文,Receive,rcv,X
收款,receivables,rcvab,X
收款人,Payee,pye,X
收益,Profit,profit,X
收益率要求,ProfitRatioReq,prr,X
收费,Charge,chrg,X
改制,Reformation,rfmt,X
放款,Loan,ln,X
政府,Government,gov,X
政策,Policy,pl,X
效期,Period Of Validity,pov,X
效益,Profit,profit,X
敏感,sensitivity,sens,X
教育,education,edctn,X
敞口,Gap,gap,X
数,Number,nbr,X
数值,Value,val,X
数字,Number,nbr,X
数据,Data,data,X
数量,Number,nbr,X
整体,Whole,whl,X
整合后,Integrated,intgd,X
整改,Rectification,rctf,X
文书,Writ,writ,X
文件,File,file,X
文件主档,Main File,mfile,X
文件档,File,file,X
文化,Culture,culture,X
文化程度,Education,edu,X
文号,Document No,docno,X
文字,Word,wrd,X
文本,Text,txt,X
文档,Document,doc,X
新,New,new,X
新增,New Gain,ngn,X
新开户,New Account,new,X
新旧,Old_New,old_new,X
新账,New Account,newac,X
方向,Direction,direct,X
方式,Fashion,fshn,X
方案,Plan,pln,X
方法,Method,mth,X
施工,Construction,const,X
无形,Immateriality,immtly,X
无欠,NotOverDue,ntovd,X
无法,Unable,unbl,X
无线寻呼,Bp,bp,X
日,Day,day,X
日均,DayAvg,DayAvg,X
日常,Daily,daily,X
日志,Log,log,X
日期,Date,dt,X
旧,Old,old,X
旬,A Period Of Ten Days,tenday,X
时效,Valid Period,vp,X
时段,Period,prid,X
时点,Break Point,brkpt,X
时间,Time,tm,X
时间戳,Timestamp,tmsmp,X
时限,Time,tm,X
明细,Detail,dtl,X
明细副档,Detail File,dfile,X
明细文件,Detail File,dfile,X
明细档,Detail File,dfile,X
映射,map,map,X
是,Yes,yes,X
是否,If,if,X
显示,Display,dsp,X
显著,Prominence,prmn,X
晚于,laterTO,ltrt,X
暴露,Exposure,exposr,X
更新,Update,udt,X
更正,Rectify,rctf,X
最低,Lowest,lwst,X
最后,Last,last,X
最大,Bigest,bgst,X
最小,Smallest,smlst,X
最差,Baddest,baddest,X
最新,Newest,nst,X
最短,Shortest,sht,X
最终,Final,fnl,X
最近,Recently,recly,X
最近一次,Lastest,ltst,X
最长,Longest,lgst,X
最高,Highest,hiest,X
月,Month,mon,X
月份,Month,mon,X
月供,Pay By Month,pbmon,X
有效,Valid,vld,X
有权,Right,rght,X
有限,Ltd.,ltd,X
服务,Service,serv,X
期,Period,prd,X
期初,termBegin,tb,X
期号,Term NO,term_no,X
期数,Stage,stg,X
期末,termEnd,te,X
期间,period,perd,X
期限,Time Limit,tmlmt,X
未,Not,not,X
未付,Unpaid,unpaid,X
未决,In Dispute,indispt,X
未到期,Undue,undue,X
未完成,Incomplete,incom,X
未收,Non-Received,norcvd,X
未来,Future,fut,X
末,End,end,X
末次,Last Time,lsttm,X
本,This,this,X
本币,Local Currency,lccy,X
本期,CurrentTerm,crnt_term,X
本段,Current Term,curtrm,X
本科,Bachelor,bachelor,X
本行,Boc,boc,X
本金,Principal Sum,pnpsum,X
本金项下,Principal,pnp,X
机器,Machine,mash,X
机构,Organization,org,X
权利,Right,rght,X
权属,Possession,poss,X
权益,Equity,eqty,X
权重,Weight,wght,X
权限,Priority,prty,X
杠杆,lever,lvr,X
条件,Condition,cd,X
条款,Item,item,X
条线,line,line,X
来,Come,come,X
来源,Origin,orig,X
架构,Architecture,archt,X
柜员,Teller,tlr,X
